source,target,edge_type,weight
artist_1,tag_139,has_tag,5.0
artist_1,tag_141,has_tag,3.0
artist_1,tag_179,has_tag,2.0
artist_1,tag_541,has_tag,2.0
artist_1,tag_552,has_tag,1.0
artist_1,tag_1219,has_tag,1.0
artist_1,tag_2850,has_tag,1.0
tag_139,artist_4,has_tag,6.0
tag_139,artist_8,has_tag,8.0
tag_139,artist_372,has_tag,1.0
tag_139,artist_376,has_tag,5.0
tag_139,artist_382,has_tag,1.0
tag_139,artist_385,has_tag,1.0
tag_139,artist_390,has_tag,4.0
tag_139,artist_396,has_tag,6.0
tag_139,artist_397,has_tag,5.0
tag_139,artist_406,has_tag,2.0
tag_139,artist_754,has_tag,5.0
tag_139,artist_1154,has_tag,4.0
tag_139,artist_1857,has_tag,3.0
tag_139,artist_1865,has_tag,2.0
tag_139,artist_1872,has_tag,5.0
tag_139,artist_1910,has_tag,5.0
tag_139,artist_1915,has_tag,1.0
tag_139,artist_1919,has_tag,6.0
tag_139,artist_1923,has_tag,5.0
tag_139,artist_1929,has_tag,4.0
tag_139,artist_1933,has_tag,3.0
tag_139,artist_2093,has_tag,2.0
tag_139,artist_2096,has_tag,1.0
tag_139,artist_2100,has_tag,3.0
tag_139,artist_2102,has_tag,1.0
tag_139,artist_2113,has_tag,1.0
tag_139,artist_2623,has_tag,4.0
tag_139,artist_4321,has_tag,1.0
tag_139,artist_4980,has_tag,3.0
tag_139,artist_5076,has_tag,4.0
tag_139,artist_5077,has_tag,2.0
tag_139,artist_5082,has_tag,6.0
tag_139,artist_5084,has_tag,1.0
tag_139,artist_5087,has_tag,2.0
tag_139,artist_5090,has_tag,1.0
tag_139,artist_5091,has_tag,1.0
tag_139,artist_5332,has_tag,1.0
tag_139,artist_5417,has_tag,1.0
tag_139,artist_6995,has_tag,1.0
tag_139,artist_6996,has_tag,1.0
tag_139,artist_8392,has_tag,1.0
tag_139,artist_8396,has_tag,1.0
tag_139,artist_8398,has_tag,2.0
tag_139,artist_8404,has_tag,1.0
tag_139,artist_8407,has_tag,1.0
tag_139,artist_9089,has_tag,1.0
tag_139,artist_9576,has_tag,1.0
tag_139,artist_9577,has_tag,2.0
tag_139,artist_9585,has_tag,1.0
tag_139,artist_9587,has_tag,1.0
tag_139,artist_10244,has_tag,1.0
tag_139,artist_10582,has_tag,2.0
tag_139,artist_10583,has_tag,5.0
tag_139,artist_10811,has_tag,1.0
tag_139,artist_11313,has_tag,1.0
tag_139,artist_11822,has_tag,1.0
tag_139,artist_11829,has_tag,1.0
tag_139,artist_12185,has_tag,1.0
tag_139,artist_12796,has_tag,1.0
tag_139,artist_12803,has_tag,1.0
tag_139,artist_12807,has_tag,1.0
tag_139,artist_12811,has_tag,1.0
tag_139,artist_12816,has_tag,1.0
tag_139,artist_15163,has_tag,1.0
tag_139,artist_16156,has_tag,1.0
tag_139,artist_17482,has_tag,1.0
tag_139,artist_17485,has_tag,1.0
tag_139,artist_17661,has_tag,2.0
tag_139,artist_17667,has_tag,1.0
tag_139,artist_17713,has_tag,1.0
tag_139,artist_17718,has_tag,1.0
tag_139,artist_17719,has_tag,1.0
tag_141,artist_4,has_tag,3.0
tag_141,artist_8,has_tag,4.0
tag_141,artist_382,has_tag,1.0
tag_141,artist_390,has_tag,4.0
tag_141,artist_397,has_tag,3.0
tag_141,artist_401,has_tag,1.0
tag_141,artist_1379,has_tag,1.0
tag_141,artist_1910,has_tag,2.0
tag_141,artist_1915,has_tag,1.0
tag_141,artist_1923,has_tag,3.0
tag_141,artist_1933,has_tag,2.0
tag_141,artist_2093,has_tag,2.0
tag_141,artist_2096,has_tag,1.0
tag_141,artist_2100,has_tag,4.0
tag_141,artist_2623,has_tag,2.0
tag_141,artist_3367,has_tag,1.0
tag_141,artist_5076,has_tag,2.0
tag_141,artist_5077,has_tag,1.0
tag_141,artist_5082,has_tag,3.0
tag_141,artist_5110,has_tag,1.0
tag_141,artist_6994,has_tag,1.0
tag_141,artist_6996,has_tag,1.0
tag_141,artist_8396,has_tag,3.0
tag_141,artist_8397,has_tag,2.0
tag_141,artist_8398,has_tag,2.0
tag_141,artist_8404,has_tag,2.0
tag_141,artist_8407,has_tag,1.0
tag_141,artist_10582,has_tag,2.0
tag_141,artist_10807,has_tag,1.0
tag_141,artist_11313,has_tag,1.0
tag_141,artist_12702,has_tag,1.0
tag_141,artist_12795,has_tag,1.0
tag_141,artist_12797,has_tag,1.0
tag_141,artist_12798,has_tag,1.0
tag_141,artist_12800,has_tag,1.0
tag_141,artist_12801,has_tag,1.0
tag_141,artist_12802,has_tag,1.0
tag_141,artist_12803,has_tag,2.0
tag_141,artist_12804,has_tag,1.0
tag_141,artist_12805,has_tag,1.0
tag_141,artist_12807,has_tag,1.0
tag_141,artist_12808,has_tag,1.0
tag_141,artist_12814,has_tag,1.0
tag_141,artist_15290,has_tag,1.0
tag_141,artist_16971,has_tag,1.0
tag_141,artist_17653,has_tag,1.0
tag_141,artist_17655,has_tag,1.0
tag_141,artist_17656,has_tag,1.0
tag_141,artist_17659,has_tag,1.0
tag_141,artist_17660,has_tag,1.0
tag_141,artist_17661,has_tag,1.0
tag_141,artist_17662,has_tag,2.0
tag_141,artist_17663,has_tag,1.0
tag_141,artist_17665,has_tag,1.0
tag_141,artist_17667,has_tag,1.0
tag_141,artist_17668,has_tag,1.0
tag_141,artist_17669,has_tag,1.0
tag_141,artist_17671,has_tag,1.0
tag_141,artist_17673,has_tag,1.0
tag_141,artist_17674,has_tag,1.0
tag_141,artist_17675,has_tag,1.0
tag_141,artist_17676,has_tag,1.0
tag_141,artist_17683,has_tag,1.0
tag_141,artist_17684,has_tag,1.0
tag_179,artist_2,has_tag,5.0
tag_179,artist_4,has_tag,3.0
tag_179,artist_5,has_tag,1.0
tag_179,artist_6,has_tag,1.0
tag_179,artist_7,has_tag,1.0
tag_179,artist_16,has_tag,6.0
tag_179,artist_18,has_tag,6.0
tag_179,artist_25,has_tag,1.0
tag_179,artist_30,has_tag,1.0
tag_179,artist_39,has_tag,3.0
