node_id,node_type,label
artist_1,artist,MALICE MIZER
tag_139,tag,j-rock
tag_141,tag,visual kei
tag_179,tag,gothic
tag_541,tag,japanese
tag_552,tag,weeabo
tag_1219,tag,jrock
tag_2850,tag,better than lady gaga
artist_2,artist,Diary of Dreams
tag_14,tag,ambient
tag_18,tag,electronic
tag_30,tag,german
tag_61,tag,industrial
tag_127,tag,seen live
tag_190,tag,gothic rock
tag_233,tag,dark
tag_575,tag,darkwave
tag_727,tag,vocal
tag_10137,tag,true goth emo
artist_3,artist,Carpathian Forest
tag_4,tag,black metal
tag_2092,tag,norwegian black metal
tag_3706,tag,true norwegian black metal
tag_4117,tag,very kvlt
tag_4122,tag,norsk arysk metal
tag_8882,tag,saxophones
artist_4,artist,Moi dix Mois
tag_1,tag,metal
tag_7,tag,gothic metal
tag_73,tag,rock
tag_7561,tag,gothic japanese
tag_9640,tag,bazarov
artist_5,artist,Bella Morte
tag_612,tag,deathrock
tag_1097,tag,covers
artist_6,artist,Moonspell
tag_82,tag,doom metal
tag_191,tag,instrumental
tag_285,tag,awesome
tag_524,tag,great
tag_713,tag,best song ever
tag_793,tag,fucking awesome
tag_1482,tag,dark metal
tag_1484,tag,portuguese
tag_7996,tag,for work
artist_7,artist,Marilyn Manson
tag_2,tag,alternative metal
tag_6,tag,industrial metal
tag_56,tag,melancholic
tag_72,tag,hard rock
tag_78,tag,alternative rock
tag_79,tag,alternative
tag_80,tag,glam rock
tag_176,tag,emo
tag_177,tag,nu metal
tag_178,tag,screamo
tag_184,tag,soundtrack
tag_189,tag,industrial rock
tag_210,tag,00s
tag_216,tag,american
tag_232,tag,addictive
tag_234,tag,amazing
tag_238,tag,sexy
tag_306,tag,male vocalists
tag_352,tag,90s
tag_370,tag,favorite
tag_386,tag,heavy metal
tag_481,tag,usa
tag_543,tag,stoner rock
tag_555,tag,industrial pop
tag_610,tag,childhood
tag_623,tag,depression
tag_737,tag,great lyrics
tag_797,tag,masterpiece
tag_804,tag,so sad yet so beautiful
tag_810,tag,attitude
tag_850,tag,cover
tag_1513,tag,shit
tag_1712,tag,cartoon metal
tag_1983,tag,manson
tag_1984,tag,marilyn manson
tag_1985,tag,shockrock
tag_2139,tag,halloween
tag_2371,tag,gorgeous
tag_2604,tag,shock rock
tag_2755,tag,2000's
tag_3673,tag,ultimate favorite
tag_3882,tag,tags
tag_3883,tag,as
tag_3890,tag,legal
tag_4956,tag,guerilla
tag_6253,tag,animals
tag_6955,tag,horror rock
tag_9823,tag,rock me babe
tag_10116,tag,great covers
tag_10213,tag,i fucking love this song
tag_10232,tag,covers that are actually good
tag_10875,tag,nightmare before christmas
tag_10876,tag,covers that are far far better than the original
tag_11222,tag,me likey
tag_11314,tag,trashbag filled with vomit
tag_11757,tag,film music composer
tag_12133,tag,ponyrape
tag_12134,tag,intense-mutha-fuckin-power-violence
tag_12140,tag,analrape
tag_12209,tag,other great tracks
artist_8,artist,DIR EN GREY
tag_138,tag,hard rock - metal
tag_364,tag,favorites
tag_2155,tag,hall
artist_9,artist,Combichrist
tag_9,tag,electro-industrial
tag_12,tag,aggrotech
tag_86,tag,ebm
tag_309,tag,electro
tag_562,tag,futuremelon
tag_563,tag,terrorbanana
tag_565,tag,dark electro
tag_570,tag,techno
tag_571,tag,dark techno
tag_572,tag,helltrance
tag_576,tag,alpha quadrant
tag_577,tag,industrial techno
tag_580,tag,industrial dance
tag_595,tag,war
tag_597,tag,combichrist
tag_1447,tag,remix
tag_2794,tag,tbm
tag_6763,tag,prejebeno
artist_10,artist,Grendel
tag_10,tag,harsh ebm
tag_385,tag,melodic death metal
tag_607,tag,dutch
artist_11,artist,Agonoize
tag_567,tag,rave
artist_12,artist,Behemoth
tag_5,tag,death metal
tag_188,tag,polish
tag_742,tag,brutal death metal
tag_743,tag,technical death metal
tag_2096,tag,blackened death metal
tag_3509,tag,extreme metal
tag_6778,tag,death-black metal
tag_7954,tag,black metal cabeza
tag_9613,tag,polish death metal
tag_9614,tag,pldm
artist_13,artist,Hocico
tag_4328,tag,friends
artist_15,artist,Dimmu Borgir
tag_89,tag,symphonic metal
tag_1532,tag,symphonic black metal
tag_3135,tag,melodic heavy metal
tag_3335,tag,atmospheric black metal
tag_3343,tag,melodic black metal
tag_3704,tag,symphonic
tag_3705,tag,nordic metal
tag_3707,tag,norwegian metal
tag_7155,tag,close your eyes and imagine
artist_16,artist,London After Midnight
tag_1478,tag,goth
tag_2548,tag,heavy
tag_3678,tag,weird
tag_4300,tag,sexy songs
tag_5033,tag,dark wave
artist_17,artist,Psyclon Nine
artist_18,artist,The CrÃ¼xshadows
tag_74,tag,synthpop
tag_187,tag,electronica
tag_202,tag,electro pop
artist_19,artist,:wumpscut:
tag_662,tag,perfect
tag_959,tag,po-kraftwerkski
tag_964,tag,ogonj
tag_966,tag,oni pout
tag_967,tag,ohm sweet ohm
artist_20,artist,Limbonic Art
artist_22,artist,xotox
tag_67,tag,noise
tag_613,tag,powernoise
artist_23,artist,The Kovenant
tag_3508,tag,cyber metal
tag_6765,tag,just could not get any better
tag_6773,tag,industrial black metal
artist_24,artist,Feindflug
tag_7188,tag,approfondire
artist_25,artist,Cradle of Filth
tag_121,tag,uk
tag_6312,tag,great intro
tag_6770,tag,who is goth lol
tag_6776,tag,black gay
artist_26,artist,Tamtrum
tag_46,tag,melancholy
tag_321,tag,french
tag_447,tag,favourites
tag_839,tag,sad
tag_12174,tag,toured with
artist_27,artist,Laibach
tag_32,tag,avant-garde
tag_33,tag,experimental
artist_28,artist,Gorgoroth
tag_2091,tag,true black metal
tag_4118,tag,killer drums
tag_11142,tag,satanic metal
artist_30,artist,And One
tag_16,tag,new wave
tag_17,tag,synth pop
tag_25,tag,80s
tag_39,tag,dance
tag_88,tag,psychedelic
tag_90,tag,trance
tag_302,tag,ethnic
tag_395,tag,new romantic
tag_494,tag,synth
tag_600,tag,futurepop
tag_956,tag,the beowulfs choice
tag_957,tag,scholes song
tag_962,tag,my fav fun
tag_963,tag,touching song
tag_965,tag,absolute disco
tag_968,tag,nejlepsi
tag_969,tag,po-andoneovski
tag_976,tag,true synthpop
tag_2102,tag,loveliness
tag_3237,tag,drum
tag_3239,tag,and one
tag_3969,tag,beat
tag_6690,tag,newman-esque
artist_31,artist,Amduscia
artist_32,artist,Covenant
tag_601,tag,swedish
tag_602,tag,futurepop anthem
tag_10093,tag,succulent 3s
artist_34,artist,Icon of Coil
tag_604,tag,norwegian
artist_36,artist,KMFDM
tag_796,tag,music for tossing furniture around
tag_802,tag,take your shirt off and dance to it
tag_1902,tag,interesting
tag_2140,tag,rock hard
tag_4098,tag,kmfdm
tag_12431,tag,ultra heavy beat
artist_37,artist,Funker Vogt
artist_38,artist,Dawn of Ashes
tag_8,tag,terror ebm
tag_378,tag,deathcore
tag_5422,tag,post-industrial
tag_11455,tag,dawn of ashes -angels
artist_39,artist,Sopor Aeternus & The Ensemble of Shadows
tag_827,tag,medieval
tag_9745,tag,makes me wanna dance
tag_9846,tag,poem
artist_40,artist,The Faint
tag_81,tag,indie
tag_84,tag,indie rock
tag_228,tag,catchy
tag_719,tag,gossip girl
tag_918,tag,american artists
tag_1964,tag,bouncy
tag_5808,tag,indi
tag_7252,tag,berep shows the love
tag_9437,tag,witch-clash
tag_11492,tag,must see live before dying
tag_11792,tag,songs to download later
tag_11935,tag,smash it up
tag_12590,tag,the faint
artist_41,artist,God Module
artist_43,artist,Noisuf-X
artist_44,artist,Das Ich
tag_2726,tag,favorite songs
artist_45,artist,Mindless Self Indulgence
tag_181,tag,punk
tag_503,tag,live
tag_5786,tag,industrial jungle pussy punk
tag_8160,tag,the fucking best
tag_9827,tag,i want to dance in my underwear
tag_9971,tag,synthpunk
tag_10114,tag,magnificently mediocre
tag_12575,tag,mindless self indulgence
artist_46,artist,Pyotr Ilyich Tchaikovsky
tag_512,tag,romantic
tag_545,tag,classical
tag_1099,tag,christmas blend
tag_4602,tag,ballet
tag_7089,tag,inspiration
tag_7094,tag,tchaikovsky
tag_8505,tag,the best classical opera and film scores
tag_10537,tag,top100
artist_47,artist,Emperor
tag_229,tag,epic
tag_794,tag,play this loud enough to raise the dead
tag_3510,tag,raw black metal
tag_3605,tag,favourite songs
tag_4119,tag,killer riffing
tag_4120,tag,norway
tag_8556,tag,extreme black metal
tag_8557,tag,sophisticated black metal art
tag_8558,tag,awesome songs
artist_48,artist,Anorexia Nervosa
artist_49,artist,Reaper
artist_50,artist,Gothminister
artist_51,artist,Duran Duran
tag_13,tag,chillout
tag_19,tag,80's
tag_24,tag,pop
tag_26,tag,atmospheric
tag_27,tag,ethereal
tag_42,tag,synth-pop
tag_69,tag,dub
tag_105,tag,house
tag_109,tag,pop rock
tag_122,tag,old school
tag_128,tag,hit
tag_134,tag,singer-songwriter
tag_170,tag,grunge
tag_185,tag,acoustic
tag_192,tag,classic rock
tag_195,tag,british
tag_200,tag,hot
tag_201,tag,guilty pleasures
tag_209,tag,legend
tag_213,tag,beautiful
tag_230,tag,love it
tag_231,tag,ballad
tag_275,tag,post-punk
tag_296,tag,indie pop
tag_363,tag,brit pop
tag_389,tag,britpop
tag_505,tag,80s pop
tag_508,tag,love
tag_509,tag,dance-pop
tag_519,tag,eighties
tag_642,tag,guilty pleasure
tag_689,tag,madonna
tag_706,tag,2008
tag_730,tag,love at first listen
tag_801,tag,hypnotic
tag_824,tag,mellow
tag_831,tag,the best
tag_835,tag,nostalgia
tag_838,tag,amazing vocal
tag_885,tag,fav songs
tag_887,tag,new wave songs
tag_889,tag,fav artists
tag_892,tag,1982 songs
tag_895,tag,british artists
tag_896,tag,1981 songs
tag_897,tag,new wave artists
tag_899,tag,1983 songs
tag_900,tag,new romantic songs
tag_919,tag,b-sides
tag_960,tag,my pleasuredome
tag_961,tag,zadrotstvo
tag_972,tag,my choice
tag_1044,tag,1995
tag_1048,tag,1981
tag_1100,tag,rain
tag_1424,tag,drugs
tag_1446,tag,dramatic
tag_1495,tag,sex
tag_1680,tag,faves
tag_1735,tag,club
tag_1790,tag,retro
tag_1886,tag,fucking amazing
tag_1955,tag,90's
tag_1956,tag,demo
tag_1990,tag,mix
tag_2006,tag,duran duran
tag_2115,tag,acoustic rock
tag_2333,tag,electro-pop
tag_2520,tag,best songs ever
tag_2551,tag,danny
tag_2580,tag,erotic
tag_2700,tag,best
tag_2712,tag,all time faves
tag_2805,tag,single
tag_2887,tag,energetic
tag_3049,tag,favorite tracks
tag_3129,tag,duran my fave from wedding album
tag_3130,tag,love duran jt
tag_3183,tag,nelly furtado
tag_3495,tag,tag your songs properly
tag_3496,tag,artists
tag_3588,tag,u2
tag_3816,tag,tender
tag_3830,tag,weirdness
tag_4103,tag,johnny
tag_4397,tag,political
tag_4523,tag,1990s
tag_4861,tag,new romantics
tag_4864,tag,i want back to the 80s
tag_4871,tag,duran
tag_4897,tag,b-side
tag_4927,tag,nineties
tag_4929,tag,1990's
tag_4938,tag,my favorites
tag_4955,tag,1008
tag_5094,tag,religion
tag_5316,tag,anthemic
tag_5318,tag,stylish
tag_5320,tag,majestic
tag_5322,tag,james bond
tag_6050,tag,reasons to love 80s
tag_6051,tag,chilled
tag_6665,tag,dd
tag_6798,tag,numbers
tag_6805,tag,scifi
tag_6815,tag,blue songs
tag_7103,tag,loved tracks
tag_7797,tag,slowies
tag_7800,tag,edit
tag_7801,tag,song with samples
tag_7862,tag,bond
tag_8398,tag,80s stuff
tag_8572,tag,bad day
tag_8573,tag,life on mars
tag_8574,tag,titans
tag_8576,tag,bobbi
tag_8577,tag,roy
tag_8579,tag,clint
tag_8580,tag,simon
tag_8582,tag,babs
tag_8584,tag,wally
tag_8586,tag,runaways
tag_8587,tag,rachel
tag_8589,tag,government
tag_8590,tag,caleb
tag_8592,tag,tula
tag_8594,tag,tony
tag_8595,tag,jason
tag_8596,tag,kon
tag_8597,tag,amelia
tag_8599,tag,tara
tag_8604,tag,bad days
tag_8605,tag,unsure
tag_8611,tag,x-men
tag_8612,tag,roxy
tag_8613,tag,bad girls
tag_8617,tag,namora
tag_8618,tag,teddy
tag_8951,tag,songs to feel happy to
tag_9973,tag,seen in concert
tag_11499,tag,leftovergrooves
tag_11504,tag,collectables
tag_12208,tag,new wave and eighties
artist_52,artist,Morcheeba
tag_15,tag,downtempo
tag_20,tag,lounge
tag_21,tag,trip-hop
tag_41,tag,female vovalists
tag_102,tag,hip-hop
tag_130,tag,female vocalists
tag_557,tag,easy listening
tag_826,tag,chill
tag_1492,tag,relax
tag_2336,tag,favorite artist
tag_4847,tag,my fav songs
tag_5083,tag,science
tag_6794,tag,cities
tag_6796,tag,transport
tag_6808,tag,cars
tag_8730,tag,drug music
tag_10534,tag,alsolike
tag_11083,tag,the end
tag_11613,tag,btvs
artist_53,artist,Air
tag_83,tag,jazz
tag_95,tag,autumn
tag_347,tag,gay
tag_393,tag,dream pop
tag_425,tag,pastel
tag_500,tag,brilliant
tag_511,tag,english
tag_526,tag,piano
tag_825,tag,relaxing
tag_836,tag,dreamy
tag_845,tag,meditative
tag_1534,tag,indietronica
tag_1911,tag,cool
tag_2349,tag,sweet
tag_2362,tag,dream
tag_2377,tag,european
tag_2384,tag,downbeat
tag_2784,tag,france
tag_3708,tag,music for my soul
tag_3999,tag,eletronic
tag_4278,tag,curious about
tag_4646,tag,air
tag_4773,tag,veronica mars
tag_6171,tag,aana
tag_6957,tag,sweet electronic
tag_7013,tag,dreamlike
tag_9819,tag,my electro feelings
tag_9825,tag,just chillin
tag_10692,tag,beautiful music
tag_11071,tag,sex music
tag_11490,tag,effy
artist_54,artist,Hooverphonic
tag_49,tag,female vocalist
tag_62,tag,trip hop
tag_614,tag,belgian
tag_6445,tag,post modern
tag_9822,tag,remember him
artist_55,artist,Kylie Minogue
tag_124,tag,pop dance
tag_167,tag,rnb
tag_199,tag,electropop
tag_203,tag,disco
tag_204,tag,fierce
tag_205,tag,urban pop
tag_206,tag,<3
tag_208,tag,diva
tag_215,tag,icon
tag_242,tag,power pop
tag_308,tag,latin
tag_346,tag,female
tag_348,tag,gay icons
tag_350,tag,gay icon
tag_351,tag,europop
tag_357,tag,dance pop
tag_358,tag,queen of pop
tag_359,tag,top artists
tag_360,tag,australian
tag_365,tag,pwl
tag_366,tag,kylie minogue
tag_369,tag,kylie
tag_372,tag,best of pop
tag_396,tag,electroclash
tag_483,tag,party
tag_496,tag,80s awesome
tag_498,tag,i love 80s
tag_501,tag,pet shop boys
tag_502,tag,back to the 80s
tag_507,tag,10s
tag_510,tag,80s new wave
tag_516,tag,i love disco diamonds
tag_517,tag,80s dance
tag_527,tag,classic
tag_625,tag,soul
tag_640,tag,urban
tag_670,tag,girl power
tag_698,tag,love song
tag_724,tag,happy
tag_781,tag,2010
tag_792,tag,1980s
tag_814,tag,perfection
tag_844,tag,sensual
tag_1023,tag,1992
tag_1032,tag,1991
tag_1237,tag,2009
tag_1238,tag,2007
tag_1319,tag,pop princess
tag_1445,tag,emotional
tag_1457,tag,chill-out
tag_1593,tag,popular
tag_1658,tag,i wish i could make a video for this
tag_1671,tag,summer song
tag_1727,tag,glam
tag_1882,tag,favorite song
tag_1975,tag,90s dance
tag_2220,tag,heart
tag_2221,tag,myfavorites-singers
tag_2222,tag,biggest-voices
tag_2223,tag,the place promised in our early days
tag_2227,tag,all-time favourites
tag_2472,tag,makes me smile
tag_2702,tag,my life
tag_2806,tag,divas
tag_2845,tag,national treasure
tag_2853,tag,the queen
tag_2858,tag,pop heaven
tag_3067,tag,luxo
tag_3255,tag,dirty
tag_3450,tag,great songs
tag_3790,tag,fave songs ever
tag_3908,tag,aphrodite
tag_3909,tag,goddess of pop
tag_3914,tag,makes me feel sexy
tag_3915,tag,i want to be independent listening to
tag_4140,tag,australia
tag_4367,tag,flop
tag_4450,tag,ugly betty
tag_4451,tag,xenomania
tag_4509,tag,camp
tag_4923,tag,1980's
tag_5242,tag,shoulhavemoreplays
tag_5323,tag,village
tag_5768,tag,the queen of dance pop
tag_6036,tag,pop life
tag_6037,tag,pop pleasure
tag_6045,tag,girl shit
tag_6049,tag,female artists
tag_6105,tag,eletropop
tag_6148,tag,dance queen
tag_6756,tag,emotional pop
tag_6928,tag,aussie
tag_7258,tag,i am a party girl here is my soundtrack
tag_7729,tag,artmaker
tag_7737,tag,hora de ser mae
tag_7937,tag,pop singles
tag_8014,tag,flirty
tag_8015,tag,europe
tag_8300,tag,good old times
tag_8301,tag,lpa
tag_8308,tag,great moments at et7
tag_8500,tag,best songs of the 80s
tag_9425,tag,deep-clash
tag_9432,tag,broken-clash
tag_9727,tag,vocalista feminimo
tag_9763,tag,singalong
tag_9776,tag,i want this played at my wedding
tag_10195,tag,best music ever
tag_12021,tag,weekly top tracks
tag_12022,tag,weekly top artists
tag_12245,tag,beautiful songs
tag_12247,tag,best dance singer
tag_12297,tag,neighbours
tag_12642,tag,gluhie 90e
artist_56,artist,Daft Punk
tag_85,tag,funk
tag_354,tag,fun
tag_641,tag,top 40
tag_735,tag,70s
tag_1136,tag,bass
tag_1530,tag,breathtaking
tag_1835,tag,beats
tag_1982,tag,eletronica
tag_2475,tag,electro punk
tag_2535,tag,french house
tag_2668,tag,danceable
tag_3004,tag,catchy as hell
tag_3240,tag,techno rock
tag_3242,tag,sick
tag_3368,tag,makes me want to dance
tag_3775,tag,2000s
tag_6170,tag,descoperiri
tag_6371,tag,tron legacy ost
tag_6454,tag,daft punk
tag_7086,tag,dance party
tag_8013,tag,house society
tag_8048,tag,driving music
tag_8826,tag,late night tunes
tag_9501,tag,french electronic
tag_9783,tag,aeroelectronic punk
tag_9818,tag,neon space
tag_9820,tag,idolo
tag_9972,tag,dance - trance
tag_9974,tag,work out music
tag_10259,tag,techno brut
tag_10902,tag,love itt
tag_10903,tag,tune
tag_11290,tag,electronic house
tag_12029,tag,tinosoft
artist_57,artist,Thievery Corporation
tag_22,tag,acid jazz
tag_299,tag,world
tag_3158,tag,laid back
tag_6172,tag,special
tag_8620,tag,garden state soundtrack
artist_58,artist,Goldfrapp
tag_287,tag,lovely
tag_292,tag,folk
tag_799,tag,genius
tag_955,tag,favourite
tag_1929,tag,dowloan required
tag_4886,tag,female electronic
tag_5286,tag,the vampire diaries
tag_6728,tag,house md
tag_7657,tag,mute records
tag_9473,tag,rafa
tag_9828,tag,q sexy
tag_10220,tag,beautiful track
tag_10586,tag,i buy singles for b-sides like this
tag_11082,tag,essential instrumental versions
tag_12219,tag,launge
tag_12220,tag,light trip-hop
artist_59,artist,New Order
tag_269,tag,techno pop
tag_330,tag,death
tag_891,tag,synthpop songs
tag_934,tag,songs to listen to on a sunny day
tag_958,tag,the pedofinder general
tag_1542,tag,the cure
tag_1547,tag,new order
tag_1847,tag,manchester
tag_1859,tag,post punk
tag_2191,tag,college rock
tag_2197,tag,alternative dance
tag_2593,tag,unknown
tag_3511,tag,cold
tag_3960,tag,dancey
tag_3961,tag,poppy
tag_3963,tag,spacey
tag_4356,tag,favorite bands
tag_4915,tag,crime
tag_5162,tag,melodramatic synths
tag_5526,tag,drum machine
tag_6795,tag,colors
tag_6804,tag,days
tag_8392,tag,ich liebe dich
tag_8863,tag,beach
tag_9441,tag,factory records
tag_9720,tag,melancholic synth-pop
tag_10264,tag,80s alternative
tag_10589,tag,songs i sing in the shower
tag_11798,tag,yay
tag_11915,tag,dance dance dance
artist_60,artist,Matt Bianco
artist_61,artist,Talk Talk
tag_87,tag,post-rock
tag_901,tag,1984 songs
tag_933,tag,pure aural sex
tag_1538,tag,art rock
tag_3440,tag,water
tag_3512,tag,fog
tag_3513,tag,flood
tag_3514,tag,plasma
tag_3515,tag,washing over me
tag_3516,tag,mountain tops snow melting thawing fire ice volcanos nature earth
tag_6797,tag,girls names
tag_6811,tag,questions
tag_7866,tag,f
tag_10110,tag,psychosis
artist_62,artist,Prefab Sprout
tag_916,tag,1985 songs
tag_3977,tag,blue eyed soul
artist_63,artist,Enigma
tag_23,tag,new age
tag_40,tag,gregorian chant
tag_2101,tag,enigmatic
tag_3467,tag,enigma
tag_6242,tag,blue deep
tag_6444,tag,coisa de deus
tag_7113,tag,relaxing music
tag_7243,tag,lyrical brilliance
tag_8024,tag,deutschland
tag_12530,tag,macumba music
artist_64,artist,RÃ¶yksopp
tag_1382,tag,soundtrack of my life
tag_3364,tag,crap
tag_3576,tag,norge
tag_4279,tag,mad about
tag_5299,tag,happy happy joy joy
tag_6809,tag,famous persons
artist_65,artist,Coldplay
tag_387,tag,progressive rock
tag_388,tag,brit rock
tag_554,tag,lastfm elitist repellent
tag_583,tag,pissbass
tag_695,tag,oldies
tag_842,tag,piano rock
tag_1041,tag,2005
tag_1085,tag,2002
tag_1200,tag,samey
tag_1209,tag,overrated
tag_1212,tag,favourite artists
tag_1223,tag,marisa mix
tag_1348,tag,great song
tag_1354,tag,soft rock
tag_1753,tag,cute
tag_1880,tag,one tree hill
tag_2010,tag,coldplay
tag_2380,tag,favorite artists
tag_2463,tag,gold
tag_2658,tag,rock alternative
tag_2734,tag,favorite albums
tag_3008,tag,good stuff
tag_3160,tag,britsong
tag_3479,tag,brian eno
tag_3596,tag,free download
tag_3834,tag,britrock
tag_3869,tag,songs i absolutely love
tag_4070,tag,xmas
tag_4289,tag,songs ive obsessed over
tag_4532,tag,post-britpop
tag_4649,tag,kraftwerk
tag_4952,tag,oui fm
tag_5317,tag,wistful
tag_5492,tag,love ya  lll
tag_5675,tag,free
tag_5818,tag,4m4zinq
tag_6103,tag,i love
tag_6813,tag,time
