source,target,edge_type,weight
user_2,artist_51,listened,13883.0
user_2,artist_52,listened,11690.0
user_2,artist_53,listened,11351.0
user_2,artist_54,listened,10300.0
user_2,artist_55,listened,8983.0
user_2,artist_56,listened,6152.0
user_2,artist_57,listened,5955.0
user_2,artist_58,listened,4616.0
user_2,artist_59,listened,4337.0
user_2,artist_60,listened,4147.0
user_2,artist_61,listened,3923.0
user_2,artist_62,listened,3782.0
user_2,artist_63,listened,3735.0
user_2,artist_64,listened,3644.0
user_2,artist_65,listened,3579.0
user_2,artist_66,listened,3312.0
user_2,artist_67,listened,3301.0
user_2,artist_68,listened,2927.0
user_2,artist_69,listened,2720.0
user_2,artist_70,listened,2686.0
user_2,artist_71,listened,2654.0
user_2,artist_72,listened,2619.0
user_2,artist_73,listened,2584.0
user_2,artist_74,listened,2547.0
user_2,artist_75,listened,2397.0
user_2,artist_76,listened,2382.0
user_2,artist_77,listened,2120.0
user_2,artist_78,listened,2119.0
user_2,artist_79,listened,1990.0
user_2,artist_80,listened,1972.0
user_2,artist_81,listened,1948.0
user_2,artist_82,listened,1868.0
user_2,artist_83,listened,1792.0
user_2,artist_84,listened,1740.0
user_2,artist_85,listened,1638.0
user_2,artist_86,listened,1594.0
user_2,artist_87,listened,1559.0
user_2,artist_88,listened,1553.0
user_2,artist_89,listened,1519.0
user_2,artist_90,listened,1471.0
user_2,artist_91,listened,1438.0
user_2,artist_92,listened,1411.0
user_2,artist_93,listened,1407.0
user_2,artist_94,listened,1373.0
user_2,artist_95,listened,1363.0
user_2,artist_96,listened,1342.0
user_2,artist_97,listened,1337.0
user_2,artist_98,listened,1332.0
user_2,artist_99,listened,1330.0
user_2,artist_100,listened,1315.0
artist_51,user_4,listened,228.0
artist_51,user_27,listened,85.0
artist_51,user_28,listened,10.0
artist_51,user_62,listened,528.0
artist_51,user_63,listened,563.0
artist_51,user_66,listened,910.0
artist_51,user_73,listened,1962.0
artist_51,user_96,listened,63.0
artist_51,user_117,listened,1244.0
artist_51,user_128,listened,5254.0
artist_51,user_141,listened,548.0
artist_51,user_142,listened,221.0
artist_51,user_176,listened,4266.0
artist_51,user_185,listened,49.0
artist_51,user_187,listened,295.0
artist_51,user_191,listened,23.0
artist_51,user_196,listened,6015.0
artist_51,user_211,listened,128.0
artist_51,user_224,listened,303.0
artist_51,user_263,listened,386.0
artist_51,user_264,listened,524.0
artist_51,user_266,listened,55.0
artist_51,user_269,listened,26.0
artist_51,user_275,listened,77.0
artist_51,user_290,listened,23.0
artist_51,user_306,listened,76.0
artist_51,user_338,listened,2002.0
artist_51,user_359,listened,1317.0
artist_51,user_374,listened,71.0
artist_51,user_397,listened,60.0
artist_51,user_423,listened,732.0
artist_51,user_428,listened,61012.0
artist_51,user_430,listened,7488.0
artist_51,user_436,listened,2178.0
artist_51,user_446,listened,3669.0
artist_51,user_452,listened,172.0
artist_51,user_453,listened,235.0
artist_51,user_480,listened,330.0
artist_51,user_488,listened,165.0
artist_51,user_499,listened,7.0
artist_51,user_515,listened,274.0
artist_51,user_539,listened,42.0
artist_51,user_540,listened,4753.0
artist_51,user_568,listened,450.0
artist_51,user_576,listened,398.0
artist_51,user_577,listened,71.0
artist_51,user_592,listened,16725.0
artist_51,user_596,listened,536.0
artist_51,user_643,listened,940.0
artist_51,user_656,listened,263.0
artist_51,user_658,listened,220.0
artist_51,user_683,listened,3127.0
artist_51,user_686,listened,719.0
artist_51,user_694,listened,332.0
artist_51,user_699,listened,1010.0
artist_51,user_714,listened,439.0
artist_51,user_761,listened,3500.0
artist_51,user_769,listened,238.0
artist_51,user_788,listened,726.0
artist_51,user_791,listened,97.0
artist_51,user_832,listened,167.0
artist_51,user_864,listened,182.0
artist_51,user_959,listened,78.0
artist_51,user_1003,listened,919.0
artist_51,user_1010,listened,18.0
artist_51,user_1029,listened,330.0
artist_51,user_1038,listened,461.0
artist_51,user_1074,listened,1971.0
artist_51,user_1089,listened,109.0
artist_51,user_1115,listened,4.0
artist_51,user_1149,listened,15.0
artist_51,user_1163,listened,19.0
artist_51,user_1192,listened,618.0
artist_51,user_1200,listened,1712.0
artist_51,user_1202,listened,3261.0
artist_51,user_1209,listened,1073.0
artist_51,user_1210,listened,103150.0
artist_51,user_1229,listened,157.0
artist_51,user_1232,listened,65.0
artist_51,user_1235,listened,410.0
artist_51,user_1249,listened,235.0
artist_51,user_1327,listened,69.0
artist_51,user_1336,listened,276.0
artist_51,user_1343,listened,14.0
artist_51,user_1384,listened,222.0
artist_51,user_1427,listened,2485.0
artist_51,user_1454,listened,332.0
artist_51,user_1456,listened,1447.0
artist_51,user_1498,listened,525.0
artist_51,user_1505,listened,451.0
artist_51,user_1514,listened,275.0
artist_51,user_1541,listened,148.0
artist_51,user_1585,listened,24657.0
artist_51,user_1643,listened,21572.0
artist_51,user_1722,listened,100.0
artist_51,user_1724,listened,111.0
artist_51,user_1775,listened,104.0
artist_51,user_1818,listened,1.0
artist_51,user_1845,listened,2303.0
artist_51,user_1853,listened,344.0
artist_51,user_1866,listened,19190.0
artist_51,user_1881,listened,2182.0
artist_51,user_1900,listened,721.0
artist_51,user_1905,listened,745.0
artist_51,user_1956,listened,817.0
artist_51,user_1958,listened,37.0
artist_51,user_2014,listened,265.0
artist_51,user_2025,listened,647.0
artist_51,user_2055,listened,1716.0
artist_51,user_2075,listened,166.0
artist_52,user_191,listened,28.0
artist_52,user_283,listened,68.0
artist_52,user_382,listened,924.0
artist_52,user_461,listened,18.0
artist_52,user_484,listened,150.0
artist_52,user_541,listened,894.0
artist_52,user_606,listened,801.0
artist_52,user_697,listened,443.0
artist_52,user_1029,listened,195.0
artist_52,user_1035,listened,15.0
artist_52,user_1185,listened,684.0
artist_52,user_1225,listened,78.0
artist_52,user_1587,listened,2019.0
artist_52,user_1676,listened,125.0
artist_52,user_1688,listened,142.0
artist_52,user_1700,listened,93.0
artist_52,user_1724,listened,20.0
artist_52,user_1728,listened,118.0
artist_52,user_1732,listened,6.0
artist_52,user_1931,listened,24.0
artist_52,user_2036,listened,95.0
artist_52,user_2047,listened,157.0
artist_53,user_4,listened,686.0
artist_53,user_5,listened,181.0
artist_53,user_34,listened,211.0
artist_53,user_43,listened,289.0
artist_53,user_103,listened,36.0
artist_53,user_184,listened,160.0
artist_53,user_194,listened,1284.0
artist_53,user_243,listened,957.0
artist_53,user_315,listened,308.0
artist_53,user_358,listened,140.0
artist_53,user_366,listened,1399.0
artist_53,user_398,listened,864.0
artist_53,user_407,listened,46.0
artist_53,user_426,listened,721.0
artist_53,user_434,listened,43.0
artist_53,user_440,listened,711.0
artist_53,user_460,listened,420.0
artist_53,user_490,listened,427.0
artist_53,user_493,listened,18.0
artist_53,user_540,listened,1914.0
artist_53,user_606,listened,635.0
artist_53,user_628,listened,273.0
artist_53,user_635,listened,66.0
artist_53,user_643,listened,489.0
artist_53,user_647,listened,1026.0
artist_53,user_697,listened,365.0
artist_53,user_718,listened,704.0
artist_53,user_756,listened,18.0
artist_53,user_765,listened,356.0
artist_53,user_802,listened,14.0
artist_53,user_813,listened,97.0
artist_53,user_837,listened,209.0
artist_53,user_893,listened,135.0
artist_53,user_896,listened,616.0
artist_53,user_925,listened,883.0
artist_53,user_928,listened,24.0
artist_53,user_968,listened,464.0
artist_53,user_990,listened,652.0
artist_53,user_997,listened,627.0
artist_53,user_1006,listened,285.0
artist_53,user_1049,listened,73.0
artist_53,user_1050,listened,1060.0
artist_53,user_1075,listened,737.0
artist_53,user_1098,listened,27.0
artist_53,user_1102,listened,151.0
artist_53,user_1130,listened,289.0
artist_53,user_1133,listened,284.0
artist_53,user_1173,listened,1699.0
artist_53,user_1225,listened,59.0
artist_53,user_1234,listened,176.0
artist_53,user_1239,listened,233.0
artist_53,user_1265,listened,127.0
artist_53,user_1383,listened,342.0
artist_53,user_1384,listened,194.0
artist_53,user_1491,listened,196.0
artist_53,user_1496,listened,458.0
artist_53,user_1505,listened,271.0
artist_53,user_1587,listened,577.0
artist_53,user_1674,listened,116.0
artist_53,user_1691,listened,205.0
artist_53,user_1747,listened,28.0
artist_53,user_1785,listened,986.0
artist_53,user_1798,listened,27.0
artist_53,user_1801,listened,48.0
artist_53,user_1832,listened,972.0
artist_53,user_1836,listened,3.0
artist_53,user_1885,listened,55.0
artist_53,user_1905,listened,88.0
artist_53,user_1926,listened,438.0
artist_53,user_1958,listened,47.0
artist_53,user_1992,listened,540.0
artist_53,user_2032,listened,1399.0
artist_53,user_2047,listened,134.0
artist_53,user_2080,listened,2087.0
artist_54,user_62,listened,125.0
artist_54,user_128,listened,470.0
artist_54,user_141,listened,61.0
artist_54,user_283,listened,133.0
artist_54,user_441,listened,115.0
artist_54,user_606,listened,560.0
artist_54,user_802,listened,2.0
artist_54,user_972,listened,118.0
artist_54,user_1098,listened,44.0
artist_54,user_1225,listened,37.0
artist_54,user_1282,listened,190.0
artist_54,user_1514,listened,309.0
artist_54,user_1587,listened,375.0
artist_54,user_1616,listened,88.0
artist_54,user_1728,listened,92.0
artist_54,user_1793,listened,689.0
artist_54,user_1926,listened,2219.0
artist_55,user_7,listened,3151.0
artist_55,user_13,listened,6.0
artist_55,user_21,listened,4097.0
artist_55,user_24,listened,5956.0
artist_55,user_25,listened,185.0
artist_55,user_29,listened,404.0
artist_55,user_31,listened,147.0
artist_55,user_48,listened,13.0
artist_55,user_53,listened,33.0
artist_55,user_54,listened,116.0
artist_55,user_72,listened,6.0
artist_55,user_75,listened,500.0
artist_55,user_95,listened,127.0
artist_55,user_98,listened,99.0
artist_55,user_110,listened,677.0
artist_55,user_117,listened,405.0
artist_55,user_126,listened,1262.0
artist_55,user_129,listened,157.0
artist_55,user_130,listened,385.0
artist_55,user_132,listened,850.0
artist_55,user_134,listened,177.0
artist_55,user_135,listened,954.0
artist_55,user_136,listened,376.0
artist_55,user_137,listened,1108.0
artist_55,user_144,listened,82.0
artist_55,user_147,listened,502.0
artist_55,user_209,listened,28.0
artist_55,user_214,listened,329.0
artist_55,user_227,listened,8119.0
artist_55,user_230,listened,875.0
artist_55,user_232,listened,332.0
artist_55,user_233,listened,65.0
artist_55,user_240,listened,97.0
artist_55,user_243,listened,2783.0
artist_55,user_252,listened,1701.0
artist_55,user_253,listened,1363.0
artist_55,user_256,listened,1941.0
artist_55,user_271,listened,840.0
artist_55,user_278,listened,388.0
artist_55,user_299,listened,448.0
artist_55,user_302,listened,436.0
artist_55,user_305,listened,116.0
artist_55,user_310,listened,394.0
artist_55,user_327,listened,510.0
