node_id,node_type,label
user_2,user,
artist_51,artist,Duran Duran
artist_52,artist,Morcheeba
artist_53,artist,Air
artist_54,artist,Hooverphonic
artist_55,artist,Kylie Minogue
artist_56,artist,Daft Punk
artist_57,artist,Thievery Corporation
artist_58,artist,Goldfrapp
artist_59,artist,New Order
artist_60,artist,Matt Bianco
artist_61,artist,Talk Talk
artist_62,artist,Prefab Sprout
artist_63,artist,Enigma
artist_64,artist,R̦yksopp
artist_65,artist,Coldplay
artist_66,artist,Faithless
artist_67,artist,Madonna
artist_68,artist,Icehouse
artist_69,artist,Sade
artist_70,artist,Moby
artist_71,artist,Dido
artist_72,artist,Depeche Mode
artist_73,artist,Caf̩ Del Mar
artist_74,artist,Basia
artist_75,artist,Camouflage
artist_76,artist,Electronic
artist_77,artist,George Michael
artist_78,artist,The Adventures
artist_79,artist,Fiction Factory
artist_80,artist,Groove Armada
artist_81,artist,Portishead
artist_82,artist,Marc Almond
artist_83,artist,Cock Robin
artist_84,artist,Cut Copy
artist_85,artist,Spandau Ballet
artist_86,artist,Katie Melua
artist_87,artist,Deacon Blue
artist_88,artist,Gorillaz
artist_89,artist,Lady Gaga
artist_90,artist,Kosheen
artist_91,artist,Nik Kershaw
artist_92,artist,Vitamin Z
artist_93,artist,Jean-Michel Jarre
artist_94,artist,Ministry of Sound
artist_95,artist,Simply Red
artist_96,artist,Fleetwood Mac
artist_97,artist,Duffy
artist_98,artist,Japan
artist_99,artist,INXS
artist_100,artist,ABC
user_3,user,
artist_101,artist,Pleq
artist_102,artist,Segue
artist_103,artist,Max Richter
artist_104,artist,Celer
artist_105,artist,Pjusk
artist_106,artist,Pleq & Segue
artist_107,artist,Burial
artist_108,artist,Magnitophono
artist_109,artist,andy graydon
artist_110,artist,ddekombinacja
artist_111,artist,Pleq & Anna Rose Carter
artist_112,artist,Go Koyashiki
artist_113,artist,Dustin O'Halloran
artist_114,artist,offthesky
artist_115,artist,Nebulo
artist_116,artist,Fjordne
artist_117,artist,Pleq & Chihiro
artist_118,artist,Spyweirdos
artist_119,artist,billy gomberg + offthesky
artist_120,artist,Deru
artist_121,artist,Lukid
artist_122,artist,Manekinekod
artist_123,artist,Danny Norbury
artist_124,artist,Shinkei & Mise En Scene
artist_125,artist,aslope
artist_126,artist,The Notwist
artist_127,artist,Off the Sky
artist_128,artist,strom noir
artist_129,artist,Aless
artist_130,artist,Philippe Lamy
artist_131,artist,Part Timer
artist_132,artist,Deaf Center
artist_133,artist,Lauki
artist_134,artist,Big Brotherz
artist_135,artist,cokiyu
artist_136,artist,Verbose
artist_137,artist,Worm Is Green
artist_138,artist,Library Tapes
artist_139,artist,Richard Skelton
artist_140,artist,Matryoshka
artist_141,artist,Aidan Baker
artist_142,artist,Ylid
