source,target,edge_type,weight
user_2,user_275,friendship,1.0
user_2,user_428,friendship,1.0
user_2,user_515,friendship,1.0
user_2,user_761,friendship,1.0
user_2,user_831,friendship,1.0
user_2,user_909,friendship,1.0
user_2,user_1209,friendship,1.0
user_2,user_1210,friendship,1.0
user_2,user_1230,friendship,1.0
user_2,user_1327,friendship,1.0
user_2,user_1585,friendship,1.0
user_2,user_1625,friendship,1.0
user_2,user_1869,friendship,1.0
user_275,user_124,friendship,1.0
user_275,user_128,friendship,1.0
user_275,user_142,friendship,1.0
user_275,user_224,friendship,1.0
user_275,user_264,friendship,1.0
user_275,user_436,friendship,1.0
user_275,user_442,friendship,1.0
user_275,user_454,friendship,1.0
user_275,user_596,friendship,1.0
user_275,user_664,friendship,1.0
user_275,user_831,friendship,1.0
user_275,user_1038,friendship,1.0
user_275,user_1099,friendship,1.0
user_275,user_1184,friendship,1.0
user_275,user_1202,friendship,1.0
user_275,user_1275,friendship,1.0
user_275,user_1350,friendship,1.0
user_275,user_1393,friendship,1.0
user_275,user_1427,friendship,1.0
user_275,user_1498,friendship,1.0
user_275,user_1514,friendship,1.0
user_275,user_1541,friendship,1.0
user_275,user_1542,friendship,1.0
user_275,user_1626,friendship,1.0
user_275,user_1642,friendship,1.0
user_275,user_1662,friendship,1.0
user_275,user_1728,friendship,1.0
user_275,user_1879,friendship,1.0
user_275,user_1942,friendship,1.0
user_275,user_2051,friendship,1.0
user_275,user_2080,friendship,1.0
user_428,user_96,friendship,1.0
user_428,user_142,friendship,1.0
user_428,user_196,friendship,1.0
user_428,user_264,friendship,1.0
user_428,user_290,friendship,1.0
user_428,user_374,friendship,1.0
user_428,user_540,friendship,1.0
user_428,user_683,friendship,1.0
user_428,user_699,friendship,1.0
user_428,user_714,friendship,1.0
user_428,user_761,friendship,1.0
user_428,user_788,friendship,1.0
user_428,user_1202,friendship,1.0
user_428,user_1210,friendship,1.0
user_428,user_1327,friendship,1.0
user_428,user_1427,friendship,1.0
user_428,user_1541,friendship,1.0
user_428,user_1881,friendship,1.0
user_428,user_1900,friendship,1.0
user_428,user_1958,friendship,1.0
user_515,user_128,friendship,1.0
user_515,user_142,friendship,1.0
user_515,user_712,friendship,1.0
user_515,user_761,friendship,1.0
user_515,user_788,friendship,1.0
user_515,user_1210,friendship,1.0
user_761,user_73,friendship,1.0
user_761,user_96,friendship,1.0
user_761,user_117,friendship,1.0
user_761,user_128,friendship,1.0
user_761,user_136,friendship,1.0
user_761,user_162,friendship,1.0
user_761,user_183,friendship,1.0
user_761,user_196,friendship,1.0
user_761,user_264,friendship,1.0
user_761,user_335,friendship,1.0
user_761,user_374,friendship,1.0
user_761,user_413,friendship,1.0
user_761,user_430,friendship,1.0
user_761,user_502,friendship,1.0
user_761,user_540,friendship,1.0
user_761,user_643,friendship,1.0
user_761,user_691,friendship,1.0
user_761,user_714,friendship,1.0
user_761,user_743,friendship,1.0
user_761,user_788,friendship,1.0
user_761,user_938,friendship,1.0
user_761,user_1038,friendship,1.0
user_761,user_1054,friendship,1.0
user_761,user_1184,friendship,1.0
user_761,user_1209,friendship,1.0
user_761,user_1210,friendship,1.0
user_761,user_1229,friendship,1.0
user_761,user_1233,friendship,1.0
user_761,user_1618,friendship,1.0
user_761,user_1637,friendship,1.0
user_761,user_1722,friendship,1.0
user_761,user_1789,friendship,1.0
user_761,user_1866,friendship,1.0
user_761,user_1879,friendship,1.0
user_761,user_1882,friendship,1.0
user_761,user_1895,friendship,1.0
user_761,user_1900,friendship,1.0
user_761,user_1923,friendship,1.0
user_761,user_1965,friendship,1.0
user_761,user_1973,friendship,1.0
user_831,user_5,friendship,1.0
user_831,user_6,friendship,1.0
user_831,user_8,friendship,1.0
user_831,user_9,friendship,1.0
user_831,user_22,friendship,1.0
user_831,user_24,friendship,1.0
user_831,user_27,friendship,1.0
user_831,user_47,friendship,1.0
user_831,user_50,friendship,1.0
user_831,user_59,friendship,1.0
user_831,user_62,friendship,1.0
user_831,user_110,friendship,1.0
user_831,user_124,friendship,1.0
user_831,user_129,friendship,1.0
user_831,user_142,friendship,1.0
user_831,user_212,friendship,1.0
user_831,user_224,friendship,1.0
user_831,user_229,friendship,1.0
user_831,user_232,friendship,1.0
user_831,user_238,friendship,1.0
user_831,user_271,friendship,1.0
user_831,user_298,friendship,1.0
user_831,user_344,friendship,1.0
user_831,user_365,friendship,1.0
user_831,user_370,friendship,1.0
user_831,user_385,friendship,1.0
user_831,user_405,friendship,1.0
user_831,user_431,friendship,1.0
user_831,user_446,friendship,1.0
user_831,user_460,friendship,1.0
user_831,user_467,friendship,1.0
user_831,user_490,friendship,1.0
user_831,user_508,friendship,1.0
user_831,user_561,friendship,1.0
user_831,user_571,friendship,1.0
user_831,user_636,friendship,1.0
user_831,user_642,friendship,1.0
user_831,user_655,friendship,1.0
user_831,user_683,friendship,1.0
user_831,user_743,friendship,1.0
user_831,user_758,friendship,1.0
user_831,user_779,friendship,1.0
user_831,user_788,friendship,1.0
user_831,user_795,friendship,1.0
user_831,user_850,friendship,1.0
user_831,user_851,friendship,1.0
user_831,user_888,friendship,1.0
user_831,user_924,friendship,1.0
user_831,user_932,friendship,1.0
user_831,user_966,friendship,1.0
user_831,user_1004,friendship,1.0
user_831,user_1010,friendship,1.0
user_831,user_1021,friendship,1.0
user_831,user_1027,friendship,1.0
user_831,user_1033,friendship,1.0
user_831,user_1038,friendship,1.0
user_831,user_1040,friendship,1.0
user_831,user_1069,friendship,1.0
user_831,user_1075,friendship,1.0
user_831,user_1087,friendship,1.0
user_831,user_1092,friendship,1.0
user_831,user_1094,friendship,1.0
user_831,user_1103,friendship,1.0
user_831,user_1130,friendship,1.0
user_831,user_1154,friendship,1.0
user_831,user_1164,friendship,1.0
user_831,user_1172,friendship,1.0
user_831,user_1183,friendship,1.0
user_831,user_1184,friendship,1.0
user_831,user_1213,friendship,1.0
user_831,user_1226,friendship,1.0
