artistID,tagID,tag_value,tag_weight
1,139,j-rock,5.0
1,141,visual kei,3.0
1,179,gothic,2.0
1,541,japanese,2.0
1,552,weeabo,1.0
1,1219,jrock,1.0
1,2850,better than lady gaga,1.0
2,14,ambient,1.0
2,18,electronic,1.0
2,30,german,5.0
2,61,industrial,1.0
2,127,seen live,2.0
2,179,gothic,5.0
2,190,gothic rock,1.0
2,233,dark,1.0
2,575,darkwave,8.0
2,727,vocal,1.0
2,10137,true goth emo,1.0
3,4,black metal,3.0
3,2092,norwegian black metal,1.0
3,3706,true norwegian black metal,2.0
3,4117,very kvlt,1.0
3,4122,norsk arysk metal,1.0
3,8882,saxophones,1.0
4,1,metal,2.0
4,7,gothic metal,1.0
4,73,rock,1.0
4,139,j-rock,6.0
4,141,visual kei,3.0
4,179,gothic,3.0
4,541,japanese,4.0
4,7561,gothic japanese,1.0
4,9640,bazarov,1.0
5,179,gothic,1.0
5,190,gothic rock,1.0
5,575,darkwave,3.0
5,612,deathrock,1.0
5,1097,covers,1.0
6,4,black metal,4.0
6,7,gothic metal,6.0
6,82,doom metal,4.0
6,127,seen live,1.0
6,179,gothic,1.0
6,190,gothic rock,1.0
6,191,instrumental,1.0
6,233,dark,1.0
6,285,awesome,1.0
6,524,great,1.0
6,713,best song ever,1.0
6,793,fucking awesome,1.0
6,1482,dark metal,1.0
6,1484,portuguese,1.0
6,7996,for work,1.0
6,9640,bazarov,1.0
7,1,metal,25.0
7,2,alternative metal,3.0
7,6,industrial metal,15.0
7,7,gothic metal,1.0
7,56,melancholic,1.0
7,61,industrial,23.0
7,72,hard rock,2.0
7,73,rock,18.0
7,78,alternative rock,2.0
7,79,alternative,9.0
7,80,glam rock,1.0
7,127,seen live,1.0
7,176,emo,2.0
7,177,nu metal,1.0
7,178,screamo,1.0
7,179,gothic,1.0
7,184,soundtrack,2.0
7,189,industrial rock,3.0
7,190,gothic rock,2.0
7,191,instrumental,1.0
7,210,00s,1.0
7,216,american,4.0
7,232,addictive,1.0
7,233,dark,1.0
7,234,amazing,1.0
7,238,sexy,1.0
7,285,awesome,1.0
7,306,male vocalists,1.0
7,352,90s,1.0
7,370,favorite,2.0
7,386,heavy metal,2.0
7,481,usa,1.0
7,524,great,1.0
7,543,stoner rock,1.0
7,555,industrial pop,1.0
7,610,childhood,1.0
7,623,depression,1.0
7,737,great lyrics,1.0
7,793,fucking awesome,1.0
7,797,masterpiece,1.0
7,804,so sad yet so beautiful,1.0
7,810,attitude,1.0
7,850,cover,4.0
7,1097,covers,1.0
7,1513,shit,1.0
7,1712,cartoon metal,1.0
7,1983,manson,1.0
7,1984,marilyn manson,3.0
7,1985,shockrock,1.0
7,2139,halloween,1.0
7,2371,gorgeous,1.0
7,2604,shock rock,2.0
7,2755,2000's,1.0
7,3673,ultimate favorite,1.0
7,3882,tags,1.0
7,3883,as,1.0
7,3890,legal,1.0
7,4956,guerilla,1.0
7,6253,animals,1.0
7,6955,horror rock,1.0
7,9823,rock me babe,1.0
7,10116,great covers,1.0
7,10213,i fucking love this song,1.0
7,10232,covers that are actually good,1.0
7,10875,nightmare before christmas,1.0
7,10876,covers that are far far better than the original,1.0
7,11222,me likey,1.0
7,11314,trashbag filled with vomit,1.0
7,11757,film music composer,1.0
7,12133,ponyrape,1.0
7,12134,intense-mutha-fuckin-power-violence,1.0
7,12140,analrape,1.0
7,12209,other great tracks,1.0
8,1,metal,4.0
8,73,rock,1.0
8,138,hard rock - metal,1.0
8,139,j-rock,8.0
8,141,visual kei,4.0
8,233,dark,1.0
8,364,favorites,1.0
8,541,japanese,3.0
8,552,weeabo,1.0
8,1219,jrock,3.0
8,2155,hall,1.0
9,9,electro-industrial,1.0
9,12,aggrotech,1.0
9,18,electronic,1.0
9,61,industrial,10.0
9,86,ebm,8.0
9,127,seen live,2.0
9,309,electro,1.0
9,562,futuremelon,1.0
