userID_a,userID_b,pair_type,degree_a,degree_b,n_artists_a,n_artists_b,jaccard,cosine
2,275,friend,13,32,40,40,0.0810810774564743,0.17083732783794403
2,428,friend,13,21,40,40,0.09589041024446487,0.19909310340881348
2,515,friend,13,7,40,40,0.05263157933950424,0.11581599712371826
2,761,friend,13,43,40,40,0.06666667014360428,0.13771434128284454
2,831,friend,13,106,40,40,0.06666667014360428,0.12794514000415802
2,909,friend,13,15,40,40,0.03896103799343109,0.0568540096282959
2,1209,friend,13,13,40,40,0.03896103799343109,0.07410918921232224
2,1210,friend,13,76,40,40,0.06666667014360428,0.13480238616466522
2,1230,friend,13,51,40,40,0.012658228166401386,0.025500332936644554
2,1327,friend,13,3,40,40,0.09589041024446487,0.17354337871074677
2,1585,friend,13,5,40,40,0.05263157933950424,0.11425390839576721
2,1625,friend,13,53,40,40,0.025641025975346565,0.041746556758880615
2,1869,friend,13,72,40,40,0.025641025975346565,0.05302461236715317
3,78,friend,7,81,40,40,0.012658228166401386,0.04408322647213936
3,255,friend,7,7,40,40,0.012658228166401386,0.044098056852817535
3,460,friend,7,12,40,40,0.0,0.0
3,837,friend,7,5,40,40,0.012658228166401386,0.02285568043589592
3,1740,friend,7,3,40,40,0.012658228166401386,0.05012931674718857
3,1801,friend,7,42,40,40,0.0,0.0
3,1975,friend,7,20,40,40,0.0,0.0
4,99,friend,10,39,40,40,0.05263157933950424,0.1190672218799591
4,124,friend,10,22,40,40,0.0810810774564743,0.19076253473758698
4,211,friend,10,41,40,40,0.06666667014360428,0.1467512547969818
4,264,friend,10,17,40,40,0.1111111119389534,0.19776900112628937
4,493,friend,10,8,40,27,0.0634920671582222,0.15400686860084534
4,520,friend,10,25,40,40,0.05263157933950424,0.13844013214111328
4,534,friend,10,56,40,40,0.03896103799343109,0.09290526807308197
4,850,friend,10,16,40,40,0.012658228166401386,0.03932897001504898
4,1103,friend,10,9,40,40,0.09589041024446487,0.19174648821353912
4,2080,friend,10,20,40,40,0.025641025975346565,0.09071144461631775
5,228,friend,7,2,40,40,0.012658228166401386,0.028035307303071022
5,725,friend,7,8,40,40,0.0,0.0
5,831,friend,7,106,40,40,0.0,0.0
5,1271,friend,7,16,40,40,0.025641025975346565,0.05809703469276428
5,1310,friend,7,33,40,40,0.025641025975346565,0.04459498077630997
5,1481,friend,7,5,40,40,0.0810810774564743,0.1434873789548874
5,1785,friend,7,44,40,40,0.09589041024446487,0.19716042280197144
6,149,friend,5,14,40,40,0.0,0.0
6,831,friend,5,106,40,40,0.012658228166401386,0.022500570863485336
6,1271,friend,5,16,40,40,0.0,0.0
6,1697,friend,5,7,40,40,0.03896103799343109,0.08626916259527206
6,1761,friend,5,47,40,40,0.025641025975346565,0.04943978786468506
7,46,friend,18,84,40,40,0.1764705926179886,0.30823150277137756
7,232,friend,18,87,40,40,0.25,0.4340047538280487
7,390,friend,18,88,40,40,0.15942029654979706,0.317942351102829
7,545,friend,18,76,40,40,0.05263157933950424,0.11121592670679092
7,815,friend,18,65,40,40,0.19402985274791718,0.32655757665634155
7,873,friend,18,29,40,40,0.21212121844291687,0.39221277832984924
7,1002,friend,18,35,40,40,0.21212121844291687,0.3692035675048828
7,1135,friend,18,38,40,40,0.1428571492433548,0.3509644567966461
7,1184,friend,18,54,40,40,0.1428571492433548,0.29816094040870667
7,1308,friend,18,56,40,40,0.21212121844291687,0.3707510828971863
7,1453,friend,18,64,40,40,0.1764705926179886,0.30981138348579407
7,1466,friend,18,16,40,40,0.23076923191547394,0.4173436462879181
7,1649,friend,18,13,40,40,0.09589041024446487,0.2079828679561615
7,1666,friend,18,33,40,40,0.2698412835597992,0.42574480175971985
7,1734,friend,18,19,40,40,0.0810810774564743,0.1686493307352066
7,2020,friend,18,53,40,40,0.05263157933950424,0.13183502852916718
7,2037,friend,18,76,40,40,0.19402985274791718,0.3639497458934784
7,2061,friend,18,55,40,40,0.1267605572938919,0.25089025497436523
8,339,friend,11,73,40,40,0.0810810774564743,0.1695537567138672
8,370,friend,11,38,40,40,0.03896103799343109,0.07066355645656586
8,419,friend,11,62,40,40,0.03896103799343109,0.0793805718421936
8,749,friend,11,82,40,40,0.1111111119389534,0.22462664544582367
8,831,friend,11,106,40,40,0.0,0.0
8,1017,friend,11,51,40,40,0.1764705926179886,0.32095593214035034
8,1178,friend,11,10,40,40,0.09589041024446487,0.1787802278995514
8,1515,friend,11,50,40,40,0.05263157933950424,0.0935310572385788
8,1568,friend,11,85,40,40,0.05263157933950424,0.1202322244644165
8,1811,friend,11,41,40,40,0.03896103799343109,0.08252819627523422
8,1813,friend,11,47,40,40,0.1111111119389534,0.23759563267230988
9,743,friend,3,38,40,40,0.025641025975346565,0.06112213805317879
9,831,friend,3,106,40,40,0.0,0.0
9,1956,friend,3,35,40,40,0.025641025975346565,0.05383623391389847
10,1196,friend,5,29,40,40,0.025641025975346565,0.042971737682819366
10,1498,friend,5,17,40,40,0.03896103799343109,0.07556348294019699
10,1530,friend,5,21,40,40,0.025641025975346565,0.04943908751010895
10,1562,friend,5,25,40,40,0.012658228166401386,0.017618047073483467
10,1986,friend,5,13,40,40,0.0,0.0
11,12,friend,29,40,40,40,0.06666667014360428,0.11779694259166718
11,25,friend,29,18,40,40,0.19402985274791718,0.3495877981185913
11,129,friend,29,75,40,40,0.09589041024446487,0.19292476773262024
11,136,friend,29,52,40,40,0.1267605572938919,0.2408968061208725
11,145,friend,29,41,40,40,0.1111111119389534,0.20709162950515747
11,230,friend,29,13,40,40,0.1111111119389534,0.22262829542160034
11,278,friend,29,28,40,40,0.1428571492433548,0.282686710357666
11,405,friend,29,90,40,40,0.1267605572938919,0.22797679901123047
11,684,friend,29,38,40,40,0.19402985274791718,0.3554772138595581
11,795,friend,29,61,40,40,0.1428571492433548,0.3015022575855255
11,804,friend,29,25,40,40,0.1764705926179886,0.325684130191803
11,816,friend,29,40,40,40,0.1428571492433548,0.2650337815284729
11,859,friend,29,63,40,40,0.05263157933950424,0.09918048232793808
11,984,friend,29,29,40,40,0.15942029654979706,0.30577483773231506
11,1017,friend,29,51,40,40,0.1267605572938919,0.23894961178302765
11,1132,friend,29,75,40,40,0.1428571492433548,0.28001606464385986
11,1136,friend,29,25,40,40,0.09589041024446487,0.2033616155385971
11,1178,friend,29,10,40,40,0.0810810774564743,0.15581324696540833
11,1179,friend,29,52,40,40,0.1111111119389534,0.23654213547706604
11,1189,friend,29,38,40,40,0.09589041024446487,0.1896435022354126
11,1310,friend,29,33,40,40,0.025641025975346565,0.05909495800733566
11,1475,friend,29,8,40,40,0.1428571492433548,0.23794123530387878
11,1577,friend,29,10,40,40,0.1428571492433548,0.26300281286239624
11,1684,friend,29,5,40,40,0.1111111119389534,0.2292174994945526
11,1766,friend,29,34,40,40,0.06666667014360428,0.15751339495182037
11,1780,friend,29,53,40,40,0.1428571492433548,0.274258017539978
11,1828,friend,29,11,40,40,0.1111111119389534,0.19745807349681854
11,2004,friend,29,28,40,40,0.03896103799343109,0.100230872631073
11,2021,friend,29,31,40,40,0.09589041024446487,0.1846398115158081
12,46,friend,40,84,40,40,0.03896103799343109,0.08339808881282806
12,127,friend,40,25,40,40,0.03896103799343109,0.07765266299247742
12,133,friend,40,51,40,40,0.06666667014360428,0.13881778717041016
12,146,friend,40,50,40,40,0.03896103799343109,0.08926159888505936
12,236,friend,40,81,40,40,0.05263157933950424,0.09182600677013397
12,240,friend,40,23,40,40,0.09589041024446487,0.18790823221206665
12,258,friend,40,46,40,40,0.025641025975346565,0.060802120715379715
12,400,friend,40,50,40,40,0.03896103799343109,0.0847930908203125
12,545,friend,40,76,40,40,0.1428571492433548,0.2899031341075897
12,593,friend,40,57,40,40,0.05263157933950424,0.09899549931287766
12,684,friend,40,38,40,40,0.06666667014360428,0.13920672237873077
12,730,friend,40,79,40,40,0.06666667014360428,0.11815429478883743
12,797,friend,40,20,40,9,0.042553190141916275,0.02922815829515457
12,861,friend,40,9,40,40,0.03896103799343109,0.07404470443725586
12,930,friend,40,61,40,40,0.03896103799343109,0.07722807675600052
12,941,friend,40,72,40,40,0.025641025975346565,0.0518876351416111
12,998,friend,40,13,40,40,0.05263157933950424,0.09575363248586655
12,1023,friend,40,91,40,40,0.05263157933950424,0.11781042814254761
12,1056,friend,40,34,40,40,0.06666667014360428,0.1255972981452942
12,1088,friend,40,16,40,40,0.03896103799343109,0.07111163437366486
12,1145,friend,40,72,40,40,0.05263157933950424,0.11425166577100754
12,1146,friend,40,41,40,40,0.03896103799343109,0.09943114966154099
12,1253,friend,40,75,40,40,0.05263157933950424,0.11144386231899261
12,1272,friend,40,29,40,40,0.09589041024446487,0.19101287424564362
12,1308,friend,40,56,40,40,0.03896103799343109,0.06654834747314453
12,1346,friend,40,25,40,40,0.03896103799343109,0.09858839213848114
12,1348,friend,40,7,40,40,0.03896103799343109,0.07921858131885529
12,1368,friend,40,6,40,40,0.0810810774564743,0.199558287858963
12,1455,friend,40,27,40,40,0.1111111119389534,0.20209723711013794
12,1568,friend,40,85,40,40,0.0810810774564743,0.17062872648239136
12,1628,friend,40,38,40,40,0.025641025975346565,0.053441230207681656
12,1636,friend,40,24,40,40,0.0810810774564743,0.1636780947446823
12,1709,friend,40,39,40,40,0.0,0.0
12,1726,friend,40,21,40,40,0.012658228166401386,0.026209339499473572
12,1776,friend,40,3,40,40,0.06666667014360428,0.149169459939003
12,1820,friend,40,32,40,40,0.03896103799343109,0.0853557363152504
12,1895,friend,40,90,40,40,0.025641025975346565,0.043415170162916183
12,2004,friend,40,28,40,40,0.03896103799343109,0.07556896656751633
12,2020,friend,40,53,40,40,0.03896103799343109,0.0946907177567482
13,390,friend,11,88,40,40,0.09589041024446487,0.2888433337211609
13,405,friend,11,90,40,40,0.1111111119389534,0.2703836262226105
13,481,friend,11,65,40,40,0.0810810774564743,0.2544623017311096
13,732,friend,11,45,40,40,0.1111111119389534,0.27530062198638916
13,816,friend,11,40,40,40,0.19402985274791718,0.49318990111351013
13,1135,friend,11,38,40,40,0.25,0.5071492195129395
13,1184,friend,11,54,40,40,0.1428571492433548,0.3454015254974365
13,1659,friend,11,63,40,40,0.1111111119389534,0.3043411374092102
13,1766,friend,11,34,40,40,0.1267605572938919,0.32803523540496826
13,1780,friend,11,53,40,40,0.2698412835597992,0.43997105956077576
13,2041,friend,11,8,40,40,0.05263157933950424,0.19276952743530273
14,608,friend,8,5,40,40,0.0,0.0
14,642,friend,8,27,40,40,0.0810810774564743,0.15017399191856384
14,754,friend,8,17,40,40,0.025641025975346565,0.05438782274723053
14,1258,friend,8,86,40,40,0.0,0.0
14,1357,friend,8,12,40,40,0.0810810774564743,0.144012451171875
14,1554,friend,8,26,40,40,0.025641025975346565,0.04963667690753937
14,1702,friend,8,22,40,40,0.025641025975346565,0.055230703204870224
14,1761,friend,8,47,40,40,0.012658228166401386,0.021747997030615807
15,122,friend,21,19,40,40,0.06666667014360428,0.12240315228700638
15,143,friend,21,66,40,40,0.03896103799343109,0.08347051590681076
15,237,friend,21,3,40,40,0.1111111119389534,0.1967923492193222
15,266,friend,21,21,40,40,0.025641025975346565,0.052404675632715225
15,416,friend,21,5,40,40,0.012658228166401386,0.02534453198313713
15,454,friend,21,23,40,40,0.0,0.0
15,771,friend,21,2,40,40,0.012658228166401386,0.026555603370070457
15,1243,friend,21,5,40,40,0.025641025975346565,0.05662573128938675
15,1258,friend,21,86,40,40,0.03896103799343109,0.0705857202410698
15,1281,friend,21,110,40,40,0.012658228166401386,0.02252114564180374
15,1383,friend,21,4,40,40,0.03896103799343109,0.08357733488082886
15,1498,friend,21,17,40,40,0.06666667014360428,0.14708742499351501
15,1556,friend,21,19,40,40,0.012658228166401386,0.032230351120233536
15,1625,friend,21,53,40,40,0.0,0.0
15,1662,friend,21,57,40,40,0.03896103799343109,0.07921241968870163
15,1785,friend,21,44,40,40,0.05263157933950424,0.09343733638525009
15,1805,friend,21,17,40,40,0.06666667014360428,0.14896944165229797
15,1879,friend,21,47,40,40,0.03896103799343109,0.08068343997001648
15,1993,friend,21,21,40,40,0.012658228166401386,0.018975889310240746
15,2025,friend,21,16,40,40,0.03896103799343109,0.07673344761133194
15,2036,friend,21,33,40,40,0.03896103799343109,0.08149559795856476
16,143,friend,24,66,40,40,0.012658228166401386,0.030010780319571495
16,252,friend,24,9,40,40,0.012658228166401386,0.025274882093071938
16,339,friend,24,73,40,40,0.0,0.0
16,437,friend,24,44,40,40,0.03896103799343109,0.07486175000667572
16,545,friend,24,76,40,40,0.012658228166401386,0.02940990962088108
16,701,friend,24,33,40,9,0.0,0.0
16,726,friend,24,32,40,40,0.0,0.0
16,732,friend,24,45,40,40,0.03896103799343109,0.07563457638025284
16,743,friend,24,38,40,40,0.025641025975346565,0.05855751410126686
16,790,friend,24,13,40,40,0.025641025975346565,0.06707269698381424
16,815,friend,24,65,40,40,0.012658228166401386,0.024303054437041283
16,1226,friend,24,26,40,40,0.012658228166401386,0.024357257410883904
16,1263,friend,24,59,40,40,0.05263157933950424,0.1133037805557251
16,1503,friend,24,95,40,40,0.012658228166401386,0.03654788061976433
16,1567,friend,24,43,40,40,0.025641025975346565,0.046495355665683746
16,1568,friend,24,85,40,40,0.012658228166401386,0.024109534919261932
16,1632,friend,24,46,40,40,0.012658228166401386,0.03883037716150284
